rule,severity,likelihood,remediation_cost,priority,level
CON50-CPP,Medium,Probable,High,P4,L3
CON51-CPP,Low,Probable,Low,P6,L2
CON52-CPP,Medium,Probable,Medium,P8,L2
CON53-CPP,Low,Probable,Medium,P4,L3
CON54-CPP,Low,Unlikely,Medium,P2,L3
CON55-CPP,Low,Unlikely,Medium,P2,L3
CON56-CPP,Low,Unlikely,High,P1,L3
CTR50-CPP,High,Likely,High,P9,L2
CTR51-CPP,High,Probable,High,P6,L2
CTR52-CPP,High,Likely,Medium,P18,L1
CTR53-CPP,High,Probable,High,P6,L2
CTR54-CPP,Medium,Probable,Medium,P8,L2
CTR55-CPP,High,Likely,Medium,P18,L1
CTR56-CPP,High,Likely,High,P9,L2
CTR57-CPP,Low,Probable,High,P2,L3
CTR58-CPP,Low,Likely,High,P3,L3
DCL50-CPP,High,Probable,Medium,P12,L1
DCL51-CPP,Low,Unlikely,Low,P3,L3
DCL52-CPP,Low,Unlikely,Low,P3,L3
DCL53-CPP,Low,Unlikely,Medium,P2,L3
DCL54-CPP,Low,Probable,Low,P6,L2
DCL55-CPP,Low,Unlikely,High,P1,L3
DCL56-CPP,Low,Unlikely,Medium,P2,L3
DCL57-CPP,Low,Likely,Medium,P6,L2
DCL58-CPP,High,Unlikely,Medium,P6,L2
DCL59-CPP,Medium,Unlikely,Medium,P4,L3
DCL60-CPP,High,Unlikely,High,P3,L3
ERR50-CPP,Low,Probable,Medium,P4,L3
ERR51-CPP,Low,Probable,Medium,P4,L3
ERR52-CPP,Low,Probable,Medium,P4,L3
ERR53-CPP,Low,Unlikely,Medium,P2,L3
ERR54-CPP,Medium,Likely,Low,P18,L1
ERR55-CPP,Low,Likely,Low,P9,L2
ERR56-CPP,High,Likely,High,P9,L2
ERR57-CPP,Low,Probable,High,P2,L3
ERR58-CPP,Low,Likely,Low,P9,L2
ERR59-CPP,High,Probable,Medium,P12,L1
ERR60-CPP,Low,Probable,Medium,P4,L3
ERR61-CPP,Low,Unlikely,Low,P3,L3
ERR62-CPP,Medium,Unlikely,Medium,P4,L3
EXP50-CPP,Medium,Probable,Medium,P8,L2
EXP51-CPP,Low,Unlikely,Medium,P2,L3
EXP52-CPP,Low,Unlikely,Low,P3,L3
EXP53-CPP,High,Probable,Medium,P12,L1
EXP54-CPP,High,Probable,High,P6,L2
EXP55-CPP,Medium,Probable,Medium,P8,L2
EXP56-CPP,Low,Unlikely,Medium,P2,L3
EXP57-CPP,Medium,Unlikely,Medium,P4,L3
EXP58-CPP,Medium,Unlikely,Medium,P4,L3
EXP59-CPP,Medium,Unlikely,Medium,P4,L3
EXP60-CPP,High,Probable,Medium,P12,L1
EXP61-CPP,High,Probable,High,P6,L2
EXP62-CPP,High,Probable,High,P6,L2
EXP63-CPP,Medium,Probable,Medium,P8,L2
FIO50-CPP,Low,Likely,Medium,P6,L2
FIO51-CPP,Medium,Unlikely,Medium,P4,L3
INT50-CPP,Medium,Unlikely,Medium,P4,L3
MEM50-CPP,High,Likely,Medium,P18,L1
MEM51-CPP,High,Likely,Medium,P18,L1
MEM52-CPP,High,Likely,Medium,P18,L1
MEM53-CPP,High,Likely,Medium,P18,L1
MEM54-CPP,High,Likely,Medium,P18,L1
